ip,status,error,timeTaken
10.0.132.139,success,,40975.40
10.0.133.82,success,,40941.16
10.0.135.136,success,,41014.69
10.0.135.30,success,,41041.25
10.0.131.210,success,,41011.36
10.0.132.154,success,,40976.74
10.0.132.19,success,,40996.10
10.0.132.164,success,,40975.84
10.0.136.106,success,,40979.52
10.0.131.168,success,,41023.13
10.0.132.175,success,,40975.82
10.0.138.170,success,,40899.75
10.0.138.14,success,,40923.61
10.0.132.80,success,,40989.44
10.0.137.58,success,,40949.00
10.0.131.123,success,,41033.54
10.0.129.102,success,,40845.21
10.0.133.196,success,,40936.20
10.0.129.54,success,,40857.65
10.0.138.173,success,,40905.70
10.0.131.219,success,,41019.62
10.0.132.18,success,,41008.16
10.0.134.228,success,,40902.60
10.0.133.40,success,,40960.61
10.0.128.40,success,,40882.17
10.0.137.148,success,,40946.90
10.0.133.185,success,,40942.75
10.0.137.31,success,,40961.53
10.0.136.26,success,,41005.16
10.0.129.128,success,,40857.10
10.0.138.127,success,,40919.36
10.0.128.1,success,,40892.24
10.0.131.227,success,,41027.05
10.0.137.172,success,,40949.08
10.0.132.250,success,,40979.55
10.0.131.205,success,,41031.45
10.0.132.68,success,,41008.15
10.0.138.195,success,,40914.62
10.0.131.202,success,,41032.84
10.0.131.199,success,,41034.38
10.0.135.145,success,,41036.16
10.0.138.107,success,,40929.64
10.0.131.230,success,,41030.24
10.0.128.27,success,,40891.45
10.0.135.52,success,,41060.12
10.0.132.254,success,,40982.89
10.0.129.117,success,,40867.60
10.0.136.51,success,,41009.33
10.0.137.39,success,,40970.93
10.0.132.79,success,,41010.28
10.0.128.81,success,,40890.81
10.0.134.123,success,,40928.97
10.0.128.3,success,,40898.10
10.0.131.226,success,,41036.67
10.0.134.96,success,,40936.11
10.0.129.23,success,,40882.13
10.0.129.104,success,,40872.38
10.0.132.73,success,,41016.99
10.0.138.69,success,,40941.15
10.0.132.17,success,,41026.13
10.0.134.128,success,,40932.10
10.0.139.5,success,,40921.55
10.0.137.201,success,,40959.27
10.0.134.143,success,,40929.78
10.0.131.154,success,,41056.76
10.0.128.126,success,,40891.63
10.0.138.237,success,,40924.70
10.0.128.76,success,,40905.35
10.0.131.167,success,,41055.89
10.0.131.238,success,,41042.23
10.0.132.155,success,,41011.77
10.0.132.88,success,,41020.09
10.0.128.132,success,,40895.47
10.0.128.149,success,,40895.46
10.0.137.134,success,,40974.34
10.0.137.174,success,,40968.20
10.0.138.114,success,,40945.54
10.0.137.178,success,,40968.30
10.0.135.86,success,,41065.07
10.0.129.112,success,,40883.81
10.0.128.37,success,,40910.34
10.0.132.64,success,,41029.46
10.0.132.82,success,,41025.15
10.0.128.112,success,,40899.89
10.0.138.63,success,,40952.71
10.0.133.121,success,,40981.66
10.0.128.78,success,,40907.51
10.0.128.97,success,,40909.74
10.0.128.67,success,,40908.30
10.0.128.129,success,,40905.14
10.0.137.141,success,,40982.32
10.0.134.234,success,,40936.59
10.0.132.52,success,,41039.23
10.0.134.68,success,,40959.36
10.0.133.225,success,,40974.60
10.0.138.138,success,,40953.47
10.0.136.45,success,,41037.48
10.0.138.202,success,,40945.69
10.0.129.44,success,,40902.54
10.0.137.198,success,,40980.60
10.0.132.97,success,,41036.42
10.0.128.115,success,,40916.38
10.0.136.8,success,,41047.00
10.0.129.68,success,,40902.20
10.0.128.55,success,,40922.98
10.0.129.101,success,,40902.40
10.0.132.198,success,,41025.46
10.0.129.157,success,,40899.70
10.0.132.170,success,,41032.60
10.0.129.4,success,,40914.06
10.0.133.165,success,,40989.86
10.0.128.109,success,,40920.64
10.0.129.52,success,,40909.36
10.0.128.101,success,,40924.03
10.0.135.16,success,,41105.53
10.0.128.56,success,,40929.54
10.0.131.99,success,,41104.20
10.0.137.224,success,,40989.01
10.0.133.53,success,,41010.45
10.0.128.63,success,,40930.79
10.0.135.33,success,,41108.34
10.0.137.100,success,,41008.05
10.0.132.8,success,,41066.15
10.0.128.11,success,,40941.04
10.0.129.36,success,,40921.48
10.0.135.23,success,,41111.64
10.0.138.65,success,,40981.05
10.0.129.116,success,,40913.72
10.0.137.185,success,,40998.71
10.0.135.243,success,,41065.01
10.0.137.107,success,,41010.15
10.0.136.187,success,,41035.68
10.0.132.138,success,,41049.06
10.0.132.219,success,,41036.13
10.0.138.167,success,,40970.19
10.0.139.10,success,,40962.62
10.0.132.87,success,,41058.78
10.0.133.98,success,,41015.90
10.0.133.83,success,,41017.82
10.0.136.134,success,,41051.84
10.0.138.199,success,,40970.38
10.0.132.130,success,,41055.97
10.0.133.93,success,,41020.94
10.0.128.2,success,,40951.83
10.0.134.14,success,,41000.44
10.0.132.156,success,,41058.27
10.0.132.96,success,,41065.73
10.0.129.123,success,,40926.67
10.0.137.190,success,,41011.57
10.0.128.90,success,,40952.10
10.0.129.39,success,,40939.83
10.0.133.14,success,,41038.86
10.0.133.74,success,,41035.21
10.0.132.184,success,,41062.91
10.0.129.109,success,,40936.98
10.0.133.51,success,,41038.84
10.0.129.49,success,,40942.14
10.0.129.135,success,,40936.37
10.0.128.131,success,,40951.77
10.0.128.68,success,,40959.77
10.0.128.74,success,,40959.75
10.0.129.122,success,,40940.40
10.0.133.58,success,,41042.74
10.0.132.16,success,,41093.81
10.0.131.175,success,,41121.86
10.0.129.22,success,,40954.45
10.0.138.2,success,,41023.30
10.0.128.75,success,,40970.96
10.0.129.125,success,,40946.87
10.0.129.111,success,,40948.30
10.0.138.209,success,,40997.88
10.0.133.70,success,,41049.60
10.0.128.10,success,,40979.65
10.0.133.33,success,,41055.09
10.0.132.39,success,,41100.63
10.0.128.13,success,,40979.37
10.0.136.138,success,,41084.57
10.0.136.73,success,,41091.77
10.0.132.153,success,,41086.51
10.0.134.141,success,,41008.27
10.0.137.4,success,,41060.40
10.0.132.167,success,,41085.81
10.0.128.62,success,,40978.72
10.0.128.29,success,,40979.32
10.0.138.174,success,,41012.28
10.0.128.39,success,,40982.12
10.0.133.233,success,,41041.25
10.0.132.118,success,,41097.92
10.0.129.80,success,,40967.47
10.0.134.156,success,,41016.29
10.0.129.106,success,,40966.50
10.0.137.87,success,,41063.68
10.0.133.76,success,,41065.52
10.0.131.235,success,,41130.74
10.0.128.60,success,,40998.23
10.0.131.245,success,,41129.76
10.0.133.130,success,,41062.41
10.0.132.99,success,,41107.72
10.0.132.38,success,,41119.02
10.0.131.153,success,,41150.86
10.0.137.132,success,,41063.96
