ip,status,error,timeTaken
10.0.124.13,success,,30995.92
10.0.112.31,success,,31078.65
10.0.112.59,success,,31084.75
10.0.112.51,success,,31085.70
10.0.111.84,success,,31078.20
10.0.107.87,success,,31110.46
10.0.112.71,success,,31090.25
10.0.112.74,success,,31084.30
10.0.111.57,success,,31082.27
10.0.106.86,success,,31105.76
10.0.109.2,success,,31096.02
10.0.112.28,success,,31098.59
10.0.111.11,success,,31088.79
10.0.112.25,success,,31100.97
10.0.111.2,success,,31096.48
10.0.105.10,success,,31116.14
10.0.111.92,success,,31095.18
10.0.107.24,success,,31113.23
10.0.109.87,success,,31109.86
10.0.106.62,success,,31124.69
10.0.124.1,success,,31028.08
10.0.112.30,success,,31107.94
10.0.111.4,success,,31111.22
10.0.112.61,success,,31120.59
10.0.111.50,success,,31113.22
10.0.112.63,success,,31125.30
10.0.112.77,success,,31125.25
10.0.106.48,success,,31142.84
10.0.106.85,success,,31144.68
10.0.111.41,success,,31129.39
10.0.111.20,success,,31134.49
10.0.106.87,success,,31158.60
10.0.112.23,success,,31164.58
10.0.112.27,success,,31280.78
10.0.124.15,success,,31197.28
10.0.111.68,success,,31294.00
10.0.111.67,success,,31284.65
10.0.106.32,success,,31318.26
10.0.112.44,success,,31296.60
10.0.112.76,success,,31299.41
10.0.105.95,success,,31317.31
10.0.124.86,failure,Unexpected token '<', "<?xml vers"... is not valid JSON,31235.66
10.0.124.79,success,,31259.61
10.0.106.55,success,,31326.30
10.0.105.19,success,,31343.85
10.0.105.85,success,,31174.57
10.0.110.20,success,,31294.84
10.0.106.15,success,,31333.31
10.0.77.4,success,,31015.07
10.0.113.70,success,,31304.83
10.0.70.2,success,,31189.20
10.0.105.1,success,,31348.55
10.0.110.2,success,,31334.38
10.0.139.8,success,,31349.95
10.0.115.49,success,,31185.89
10.0.106.24,success,,31364.16
10.0.111.93,success,,31334.97
10.0.124.84,success,,31271.97
10.0.124.17,success,,31271.50
10.0.113.92,success,,31330.46
10.0.114.43,success,,31223.35
10.0.109.59,success,,31362.69
10.0.113.28,success,,31338.50
10.0.163.78,success,,31095.62
10.0.77.13,success,,31047.56
10.0.112.36,success,,31213.36
10.0.113.65,success,,31334.93
10.0.76.54,success,,31069.13
10.0.134.69,success,,31238.28
10.0.113.17,success,,31351.80
10.0.110.64,success,,31223.61
10.0.133.47,success,,31204.63
10.0.76.253,success,,31062.79
10.0.111.18,success,,31363.20
10.0.111.29,success,,31365.46
10.0.111.39,success,,31367.08
10.0.124.27,success,,31304.56
10.0.114.73,success,,31354.52
10.0.114.54,success,,31222.21
10.0.113.67,success,,31368.50
10.0.111.46,success,,31378.45
10.0.77.18,success,,31077.10
10.0.115.88,success,,31362.26
10.0.124.61,success,,31319.82
10.0.76.80,success,,31096.31
10.0.113.91,success,,31376.85
10.0.124.87,success,,31320.30
10.0.113.93,success,,31383.20
10.0.113.3,failure,Unexpected token '<', "<?xml vers"... is not valid JSON,31386.33
10.0.76.15,success,,31110.26
10.0.113.83,success,,31388.16
10.0.113.12,success,,31390.91
10.0.124.66,failure,Unexpected token '<', "<?xml vers"... is not valid JSON,31337.25
10.0.106.82,success,,31399.76
10.0.124.96,success,,31339.56
10.0.124.18,success,,31336.80
10.0.107.79,success,,31416.85
10.0.122.19,success,,31315.36
10.0.76.160,success,,31112.22
10.0.124.93,failure,Unexpected token '<', "<?xml vers"... is not valid JSON,31342.76
10.0.113.21,success,,31402.13
10.0.113.74,success,,31402.78
10.0.76.159,success,,31117.96
10.0.111.23,success,,31414.14
10.0.107.16,success,,31428.55
10.0.77.27,success,,31112.55
10.0.113.64,success,,31400.83
10.0.124.85,success,,31354.47
10.0.111.7,success,,31451.92
10.0.124.14,success,,31341.87
10.0.76.25,success,,31135.93
10.0.76.129,success,,31130.57
10.0.113.38,success,,31417.42
10.0.76.158,success,,31130.75
10.0.111.31,success,,31426.91
10.0.114.7,success,,31411.24
10.0.76.252,success,,31129.36
10.0.113.37,success,,31293.43
10.0.76.40,success,,31146.74
10.0.115.54,success,,31407.37
10.0.76.127,success,,31142.22
10.0.124.89,success,,31371.67
10.0.113.22,success,,31431.26
10.0.77.46,success,,31133.63
10.0.119.96,success,,31402.48
10.0.76.95,success,,31150.85
10.0.115.77,success,,31422.58
10.0.113.51,success,,31434.27
10.0.124.8,success,,31365.22
10.0.111.79,success,,31443.42
10.0.124.6,success,,31368.60
10.0.115.60,success,,31420.04
10.0.114.64,success,,31431.91
10.0.114.52,success,,31421.99
10.0.111.45,success,,31450.08
10.0.113.56,success,,31434.75
10.0.114.55,success,,31299.44
10.0.113.95,success,,31437.07
10.0.76.250,success,,31152.03
10.0.111.43,success,,31451.60
10.0.76.21,success,,31170.59
10.0.115.20,success,,31436.51
10.0.76.14,success,,31173.93
10.0.113.18,success,,31453.93
10.0.114.60,success,,31453.61
10.0.139.64,success,,31389.25
10.0.113.9,success,,31458.53
10.0.111.27,success,,31465.23
10.0.111.55,success,,31452.88
10.0.111.38,success,,31469.67
10.0.113.42,success,,31462.72
10.0.106.7,success,,31490.38
10.0.113.20,success,,31464.32
10.0.75.213,success,,31194.92
10.0.113.84,success,,31456.91
10.0.124.43,success,,31407.98
10.0.113.88,success,,31468.24
10.0.124.68,success,,31410.49
10.0.111.32,success,,31478.18
10.0.111.22,success,,31479.07
10.0.76.33,success,,31194.90
10.0.111.48,success,,31479.97
10.0.72.22,success,,31200.65
10.0.106.13,success,,31512.05
10.0.77.101,success,,31174.30
10.0.113.10,success,,31477.09
10.0.121.79,success,,31390.31
10.0.113.15,success,,31481.32
10.0.76.34,success,,31203.34
10.0.111.77,success,,31488.35
10.0.75.167,success,,31219.78
10.0.76.251,success,,31193.95
10.0.106.64,success,,31516.34
10.0.76.140,success,,31204.80
10.0.77.25,success,,31195.66
10.0.76.172,success,,31250.22
10.0.106.79,success,,31566.40
10.0.77.12,success,,31245.24
10.0.122.44,success,,31498.60
10.0.75.222,success,,31270.57
10.0.113.19,success,,31542.18
10.0.113.26,success,,31542.55
10.0.76.39,success,,31264.86
10.0.76.171,success,,31255.75
10.0.115.59,success,,31525.29
10.0.124.91,success,,31487.37
10.0.105.25,success,,31575.12
10.0.124.77,success,,31490.36
10.0.111.30,success,,31557.31
10.0.77.100,success,,31248.09
10.0.124.80,success,,31411.24
10.0.115.45,success,,31535.08
10.0.111.78,success,,31560.99
10.0.76.61,success,,31275.11
10.0.124.28,success,,31496.51
10.0.77.16,success,,31261.02
10.0.124.36,success,,31497.63
10.0.111.95,success,,31562.27
10.0.77.40,success,,31261.13
10.0.114.51,success,,31539.77
10.0.110.12,success,,31548.05
10.0.113.16,success,,31561.27
10.0.124.44,success,,31501.86
10.0.111.14,success,,31568.62
10.0.77.2,success,,31267.49
10.0.111.56,success,,31569.44
10.0.124.52,success,,31503.08
10.0.76.133,success,,31278.99
10.0.113.5,success,,31565.98
10.0.129.90,success,,31475.33
10.0.110.14,success,,31555.90
10.0.113.77,success,,31558.38
10.0.76.135,success,,31283.56
10.0.122.12,success,,31486.40
10.0.124.59,success,,31509.61
10.0.77.26,success,,31274.47
10.0.139.57,success,,31506.45
10.0.77.14,success,,31278.99
10.0.76.226,success,,31283.09
10.0.76.49,success,,31297.32
10.0.134.70,success,,31465.10
10.0.111.102,success,,31328.29
10.0.76.30,success,,31302.79
10.0.113.27,success,,31580.96
10.0.105.26,success,,31594.97
10.0.76.131,success,,31297.73
10.0.111.8,success,,31593.83
10.0.124.22,failure,Unexpected token '<', "<?xml vers"... is not valid JSON,31528.79
10.0.76.47,success,,31306.74
10.0.112.4,success,,31598.90
10.0.76.118,success,,31303.15
10.0.111.52,success,,31592.88
10.0.124.72,success,,31448.00
10.0.113.89,success,,31454.23
10.0.76.97,success,,31309.89
10.0.124.90,success,,31536.52
10.0.76.116,success,,31311.47
10.0.76.74,success,,31315.37
10.0.77.93,success,,31294.38
10.0.124.76,success,,31539.69
10.0.114.53,success,,31453.15
10.0.140.6,success,,31468.12
10.0.113.33,success,,31598.98
10.0.122.35,success,,31562.75
10.0.111.26,success,,31611.55
10.0.111.10,success,,31612.24
10.0.76.75,success,,31327.01
10.0.114.44,success,,31498.27
10.0.76.104,success,,31327.06
10.0.105.31,success,,31639.12
10.0.76.137,success,,31325.57
10.0.111.80,success,,31618.35
10.0.77.33,success,,31316.09
10.0.76.26,success,,31335.67
10.0.109.77,success,,31615.59
10.0.113.94,success,,31603.62
10.0.115.87,success,,31603.22
10.0.124.51,success,,31557.77
10.0.75.31,success,,31361.44
10.0.124.70,success,,31561.70
10.0.76.16,success,,31344.13
10.0.76.182,success,,31333.32
10.0.76.249,success,,31329.59
10.0.76.41,success,,31346.20
10.0.113.30,success,,31626.74
10.0.77.15,success,,31331.23
10.0.76.166,success,,31339.69
10.0.113.76,success,,31627.31
10.0.134.68,success,,31517.62
10.0.75.76,success,,31371.18
10.0.76.86,success,,31350.72
10.0.124.21,success,,31579.12
10.0.76.119,success,,31351.78
10.0.105.72,success,,31665.66
10.0.113.58,success,,31629.23
10.0.113.80,success,,31630.82
10.0.76.170,success,,31351.85
10.0.113.43,success,,31640.13
10.0.76.17,success,,31365.35
10.0.76.38,success,,31365.15
10.0.76.152,success,,31357.93
10.0.76.130,success,,31360.83
10.0.124.5,success,,31576.25
10.0.129.93,success,,31510.88
10.0.76.138,success,,31361.95
10.0.77.30,success,,31352.14
10.0.113.4,success,,31650.05
10.0.113.34,success,,31649.38
10.0.124.81,success,,31593.56
10.0.77.5,success,,31358.38
